,0
0,-4.548569723408496e-124
1,4.548569723408496e-124
2,1.3277489472601625e-121
3,3.263737022009749e-119
4,7.105952987282519e-117
5,1.4078714272592908e-114
6,2.5823753098632e-112
7,4.4376296698803997e-110
8,7.20623546570801e-108
9,1.113069882315655e-105
10,1.6435789010666878e-103
11,2.329460109087047e-101
12,3.179220712128614e-99
13,4.1892093836692357e-97
14,5.3411163310945124e-95
15,6.600868252074428e-93
16,7.919314446940586e-91
17,9.234868722676717e-89
18,1.0477984209100961e-86
19,1.157704248167267e-84
20,1.2464987678666342e-82
21,1.3085878899490874e-80
22,1.3400503330318929e-78
23,1.3390299062321951e-76
24,1.305906578812639e-74
25,1.2432255611883604e-72
26,1.1553981155172833e-70
27,1.0482194582111398e-68
28,9.282725971755562e-67
29,8.022986093243806e-65
30,6.766123777579032e-63
31,5.566293220371512e-61
32,4.465464304057515e-59
33,3.491945233071757e-57
34,2.660530369590204e-55
35,1.9739792374340318e-53
36,1.4254029342701618e-51
37,1.0010912985757058e-49
38,6.833503113757258e-48
39,4.5301337514213884e-46
40,2.9141454755624696e-44
41,1.817388141501715e-42
42,1.0977196835434466e-40
43,6.414738184336938e-39
44,3.6225101504065627e-37
45,1.9744369037741815e-35
46,1.0372818273213542e-33
47,5.244938287799038e-32
48,2.5485508352595846e-30
49,1.1880056858189799e-28
50,5.302940354939478e-27
51,2.262138457993883e-25
52,9.201931553785962e-24
53,3.5609103949911777e-22
54,1.3074634033451443e-20
55,4.541853187036119e-19
56,1.487943221824559e-17
57,4.580864162009935e-16
58,1.3200471082814367e-14
59,3.544580965810775e-13
60,8.823883226981584e-12
61,2.024573714221236e-10
62,4.252462870938553e-09
63,8.11188979154344e-08
64,1.3920622167671217e-06
65,2.1245098624820327e-05
66,0.0002842812197390325
67,0.0032756342846656434
68,0.03174318851886085
69,0.2505247981812178
70,1.5376126553418685
71,6.834537026583831
72,19.481661230657735
73,28.04255205043985
74,12.790121400821212
75,3.32572341499592
76,0.6010792320720518
77,0.08324181501786766
78,0.009356405039473985
79,0.0008865113881699928
80,7.272838008923756e-05
81,5.270271224672039e-06
82,3.425918463166599e-07
83,2.022472053493678e-08
84,1.0952550652583951e-09
85,5.48669052691051e-11
86,2.560616551793264e-12
87,1.1201005337485979e-13
88,4.6167794527159015e-15
89,1.801358757016896e-16
90,6.680637317526074e-18
91,2.363616953770661e-19
92,8.003881727062626e-21
93,2.6017990145348295e-22
94,8.140732301894295e-24
95,2.4577346637025864e-25
96,7.175706622326513e-27
97,2.0302572548517465e-28
98,5.577301566128128e-30
99,1.490228721034262e-31
100,3.8792904757875365e-33
101,9.85345292174137e-35
102,2.4455909095422355e-36
103,5.939108858713932e-38
104,1.413018541917336e-39
105,3.297447068142467e-41
106,7.556063740297849e-43
107,1.701994721317716e-44
108,3.772223574185312e-46
109,8.234207706540377e-48
110,1.7718152897023273e-49
111,3.761442530218208e-51
112,7.884576563033862e-53
113,1.6331332600730948e-54
114,3.34502541418251e-56
115,6.77972307849337e-58
116,1.3606464838452662e-59
117,2.7056543113628076e-61
118,5.33400434796173e-63
119,1.0431269313161807e-64
120,2.0247029933034055e-66
121,3.902591362327724e-68
122,7.473598785574062e-70
123,1.4226545593357666e-71
124,2.693154822321278e-73
125,5.072314604683795e-75
126,9.508607336380546e-77
127,1.7748792995547246e-78
128,3.3001223315229293e-80
129,6.114512549928795e-82
130,1.1293251427279151e-83
131,2.079936445960593e-85
132,3.8211815873181435e-87
133,7.004849500963996e-89
134,1.2816960304740486e-90
135,2.341438651088047e-92
136,4.2718256742789833e-94
137,7.785634557314848e-96
138,1.41787029966383e-97
139,2.580767666495745e-99
140,4.696074708140037e-101
141,8.54465575090777e-103
142,1.5549757501145776e-104
143,2.830834553942291e-106
144,5.156511725752981e-108
145,9.400125664396874e-110
146,1.7152589077609675e-111
147,3.133453306128964e-113
148,5.731792490173776e-115
149,1.0500371996287894e-116
150,1.9267992179609456e-118
151,3.5420419478632567e-120
152,6.524117455731564e-122
153,1.2042137970358024e-123
154,2.227715643886124e-125
155,4.130936764811299e-127
156,7.679379057913216e-129
157,1.4313520395253541e-130
158,2.675233092531439e-132
159,5.014431164261874e-134
160,9.427027940301709e-136
161,1.7777364629632863e-137
162,3.363133327594876e-139
163,6.383338651988203e-141
164,1.2156824455592388e-142
165,2.3232752828390506e-144
166,4.455821364827141e-146
167,8.577057153338523e-148
168,1.6571725633665592e-149
169,3.2140318929803996e-151
170,6.257753736964946e-153
171,1.2232188429639632e-154
172,2.4006985268478843e-156
173,4.730946687222091e-158
174,9.36188963485395e-160
175,1.860419998621065e-161
176,3.7129272259290567e-163
177,7.442258561549821e-165
178,1.4983038596014284e-166
179,3.029876120168496e-168
180,6.1546274389793524e-170
181,1.2558905712173233e-171
182,2.574514417061686e-173
183,5.302148592216076e-175
184,1.0970849240384196e-176
185,2.2807535888692776e-178
186,4.764128805587221e-180
187,9.999358881091903e-182
188,2.1089203752827687e-183
189,4.469539098136099e-185
190,9.519066216129721e-187
191,2.0373652659512154e-188
192,4.3822755338985786e-190
193,9.473258770113255e-192
194,2.058165054127334e-193
195,4.494213223657397e-195
196,9.863496328674194e-197
197,2.175817162652019e-198
198,4.8243439767904914e-200
199,1.0751849321111242e-201
200,2.3544077066071638e-203
201,-2.3544077066071638e-203
